"","EC","TP","UP","VC"
"IgG2.gp120.YU2",NA,0.0794565406149292,NA,NA
"IgG2.gp140.Du151",NA,NA,0.151669146078647,NA
"IgG2.gp41.HXBc2",NA,0.474629902011068,NA,NA
"IgG2.HIV1.Nef",NA,0.112938329595546,NA,NA
"IgG2.HIV1.Rev",NA,NA,-0.19697056349766,NA
"IgG2.IIIb.pr55.Gag",NA,NA,NA,0.418382259802881
"IgG2.p24.IIIb",NA,0.117975962289711,NA,NA
"IgG3.93TH975.gp120",0.0777280247693898,NA,NA,NA
"IgG3.Chiang.Mai.gp120",NA,NA,-0.0712229354026502,0.163719653752283
"IgG3.gp120.JRCSF",NA,NA,0.270790428693607,NA
"IgG3.gp120.TRO",NA,NA,0.0403709978929391,NA
"IgG3.HIV1.Integrase",0.255957911390203,NA,NA,-0.0163901546085222
"IgG3.HIV1.Nef",-0.187987411856625,NA,0.0437027122278939,0.0272253084191211
"IgG3.HIV1.Vif",NA,NA,0.336960550313715,NA
"IgG3.IIIb.pr55.Gag",NA,NA,0.343904256235547,NA
"IgG3.SOSIP",NA,NA,NA,0.000202721433641382
"IgG4.gp120.ZM109F",NA,NA,0.171529917320207,NA
"IgG4.HIV1.Integrase",NA,0.201464076915506,NA,NA
"IgG4.HIV1.Nef",NA,NA,0.144099446429195,NA
"IgG4.HIV1.Rev",0.0856608453292198,NA,-0.121315453246038,NA
"IgG4.IIIb.pr55.Gag",NA,NA,0.127302751713417,NA
"LCA.gp140.CN54",NA,NA,0.0853284610983549,NA
"LCA.gp41.HXBc2",-0.20424165597004,-0.36698698015164,0.258908096482955,0.312320539638725
"LCA.HIV1.Nef",NA,NA,NA,0.0274944869888345
"LCA.HIV1.Rev",NA,NA,0.140555531646258,NA
"LCA.p24.HXBc2",0.0397753620047593,NA,NA,NA
"MBL.93TH975.gp120",-0.188345182530535,NA,NA,0.00361056217875362
"MBL.gp120.Du156.12",NA,NA,0.0942961916075921,NA
"MBL.gp120.JRCSF",NA,NA,NA,0.132061140995557
"MBL.gp41.HXBc2",NA,-0.405094037544712,NA,NA
"MBL.HIV1.Integrase",NA,NA,0.0124005486167424,NA
"MBL.HIV1.Vif",-0.111136255447704,NA,NA,NA
"MBL.p24.IIIb",NA,NA,0.0320590003600721,NA
"PNA.gp140.CN54",-0.0757974735344854,NA,0.0210862657414492,NA
"PNA.HIV1.Integrase",NA,NA,0.0175085474009902,NA
"PNA.HIV1.Nef",NA,NA,NA,0.115931404534249
"PNA.HIV1.Rev",NA,0.0925554644102899,NA,-0.0405591082157205
"SNA.gp41.HXBc2",-0.114716886336313,NA,NA,0.495074499965253
"SNA.HIV1.Nef",0.167329105834836,-0.182365964402961,NA,NA
"VVL.gp140.CN54",-0.0271005061334454,NA,NA,NA
"VVL.HIV1.Integrase",NA,NA,NA,0.310228962849649
"VVL.HIV1.Nef",-0.0531370843567248,NA,NA,0.131416494633805
"VVL.HIV1.Rev",-0.257048405829078,NA,0.180135411515005,NA
"VVL.p24.HXBc2",-0.335900093283553,NA,NA,0.161492796832238
